movie_id,title,release_year,genre,secondary_genre,language,country,studio,director,runtime_mins,budget_million_usd,revenue_million_usd,imdb_rating,metascore,votes,profit_million_usd,roi_pct,is_hit
1075,Rising Requiem,2000,Animation,Romance,Spanish,Japan,Walt Disney Studios,R. Patel,146,86.8,167.4,6.2,66,96595,80.6,92.9,0
1718,Lost Dawn,2000,Drama,,Japanese,Japan,MGM,L. Garcia,110,39.1,21.1,5.6,69,84060,-18.0,-46.0,0
1713,Eternal Storm,2000,Action,Horror,Korean,India,Walt Disney Studios,K. Tanaka,111,80.9,230.5,5.3,39,52029,149.6,184.9,1
1197,Hidden Frontier,2000,Romance,Horror,English,Australia,Paramount,V. Petrov,116,20.1,40.1,6.1,57,72573,20.0,99.5,0
1063,Endless Legacy,2000,Action,Comedy,Hindi,South Korea,MGM,S. Kim,99,72.8,102.5,8.6,84,16577,29.7,40.8,0
1140,Shadow Frontier,2000,Action,,Japanese,France,MGM,T. Wilson,108,24.4,11.5,6.7,75,75844,-12.9,-52.9,0
1598,Lost Empire,2000,Horror,Drama,French,Canada,Legendary Pictures,L. Garcia,107,13.2,139.7,5.8,64,24096,126.5,958.3,1
1154,Golden Kingdom,2000,Thriller,Sci-Fi,English,India,Walt Disney Studios,H. Cho,113,14.2,35.4,4.8,52,23466,21.2,149.3,1
1150,Broken Odyssey,2000,Sci-Fi,,Japanese,Japan,Walt Disney Studios,D. Okafor,150,82.8,36.8,8.0,84,223509,-46.0,-55.6,0
1615,Eternal Journey,2000,Animation,,English,UK,Universal Pictures,B. Martinez,75,30.8,55.8,6.4,48,9649,25.0,81.2,0
1692,Dark Empire,2001,Action,Comedy,Hindi,India,Universal Pictures,J. Nolan,118,43.8,56.4,7.4,81,391274,12.6,28.8,0
1103,Hidden Kingdom,2001,Romance,,French,UK,Lionsgate,J. Nolan,130,8.4,55.9,6.8,59,38300,47.5,565.5,1
1104,Eternal Horizon,2001,Animation,Crime,English,Germany,Sony Pictures,V. Petrov,87,48.9,69.4,6.9,68,4666,20.5,41.9,0
1270,Endless Legacy,2001,Horror,Comedy,Japanese,France,Warner Bros,T. Wilson,100,26.0,16.2,7.8,84,33772,-9.8,-37.7,0
1260,Final Horizon,2001,Horror,Thriller,English,Japan,A24,A. Sharma,133,14.6,37.4,7.2,76,9575,22.8,156.2,1
1201,Forgotten Horizon,2001,Romance,Comedy,Hindi,USA,Legendary Pictures,K. Tanaka,135,7.4,17.6,6.7,62,24615,10.2,137.8,1
1574,Crimson Whisper,2001,Action,,English,South Korea,MGM,P. Dubois,80,72.8,207.4,6.3,59,13595,134.6,184.9,1
1128,Eternal Vengeance,2001,Action,Horror,English,UK,Walt Disney Studios,R. Patel,75,31.0,45.0,5.3,52,81910,14.0,45.2,0
1145,Dark Whisper,2001,Comedy,,Korean,China,Walt Disney Studios,A. Sharma,122,15.1,21.3,5.9,57,78059,6.2,41.1,0
1725,Wild Journey,2001,Thriller,Crime,Hindi,France,Paramount,A. Sharma,112,52.3,160.0,7.1,60,43233,107.7,205.9,1
1069,Eternal Journey,2001,Sci-Fi,,English,South Korea,Universal Pictures,P. Dubois,136,113.9,172.6,5.2,51,174712,58.7,51.5,0
1735,Crimson Legacy,2001,Crime,Thriller,Japanese,UK,MGM,M. Chen,112,33.0,60.0,6.3,68,64708,27.0,81.8,0
1525,Golden Odyssey,2001,Sci-Fi,Romance,English,UK,A24,S. Kim,100,37.1,149.2,6.3,67,11344,112.1,302.2,1
1736,Rising Empire,2001,Drama,Romance,Hindi,UK,Sony Pictures,V. Petrov,75,33.2,124.6,6.2,55,399567,91.4,275.3,1
1534,Eternal Legacy,2001,Sci-Fi,,Korean,South Korea,Walt Disney Studios,L. Garcia,136,54.3,147.7,6.1,56,110436,93.4,172.0,1
1274,Wild Odyssey,2001,Animation,Romance,English,Australia,Lionsgate,P. Dubois,125,41.6,25.3,6.7,74,15595,-16.3,-39.2,0
1557,Dark Horizon,2001,Animation,Horror,Hindi,France,Legendary Pictures,S. Kim,122,48.1,287.6,8.4,79,24729,239.5,497.9,1
1106,Wild Dawn,2001,Animation,,English,Japan,MGM,E. Muller,75,64.2,103.5,5.7,58,237036,39.3,61.2,0
1635,Lost Echo,2001,Adventure,,Chinese,France,Legendary Pictures,S. Kim,118,78.6,58.0,7.2,66,255810,-20.6,-26.2,0
1143,Endless Vengeance,2001,Sci-Fi,,Chinese,Japan,Lionsgate,K. Tanaka,132,96.2,608.3,9.5,90,80979,512.1,532.3,1
1684,Last Odyssey,2001,Animation,,Korean,Australia,Paramount,T. Wilson,126,10.5,38.5,4.4,46,166802,28.0,266.7,1
1441,Forgotten Odyssey,2001,Crime,Drama,English,Germany,Sony Pictures,D. Okafor,88,8.0,13.0,6.2,61,9150,5.0,62.5,0
1224,Forgotten Whisper,2001,Sci-Fi,Animation,English,China,Sony Pictures,R. Patel,81,16.4,14.3,6.6,63,189972,-2.1,-12.8,0
1233,Wild Kingdom,2001,Thriller,Comedy,English,Japan,20th Century Studios,L. Garcia,138,7.5,104.6,5.2,43,279173,97.1,1294.7,1
1434,Lost Dawn,2001,Thriller,Crime,English,France,Legendary Pictures,J. Nolan,117,43.6,32.6,7.3,78,12637,-11.0,-25.2,0
1384,Wild Frontier,2001,Romance,Action,Hindi,Australia,Universal Pictures,R. Patel,117,11.0,21.5,9.0,92,39834,10.5,95.5,0
1092,Last Horizon,2001,Action,,Spanish,South Korea,Sony Pictures,T. Wilson,96,100.2,66.8,6.6,74,161101,-33.4,-33.3,0
1095,Hidden Storm,2001,Animation,Comedy,English,USA,Walt Disney Studios,P. Dubois,134,28.2,24.8,7.0,73,18949,-3.4,-12.1,0
1042,Lost Odyssey,2001,Action,,English,South Korea,Walt Disney Studios,R. Patel,115,28.3,56.4,2.3,16,12595,28.1,99.3,0
1781,Final Frontier,2001,Adventure,,Hindi,South Korea,MGM,T. Wilson,99,59.7,155.0,5.9,70,56701,95.3,159.6,1
1094,Silent Requiem,2001,Crime,Sci-Fi,English,UK,20th Century Studios,K. Tanaka,123,22.5,16.3,4.9,66,35784,-6.2,-27.6,0
1785,Final Requiem,2001,Comedy,Horror,Spanish,South Korea,A24,S. Kim,93,13.3,209.5,5.2,53,42137,196.2,1475.2,1
1784,Dark Empire,2001,Animation,Sci-Fi,English,Australia,20th Century Studios,J. Nolan,108,48.9,701.8,6.0,53,433129,652.9,1335.2,1
1331,Endless Chronicles,2001,Sci-Fi,Romance,Hindi,India,Warner Bros,H. Cho,99,112.1,592.9,6.1,59,26235,480.8,428.9,1
1600,Eternal Empire,2001,Comedy,Adventure,Korean,India,Paramount,B. Martinez,125,43.8,28.1,6.9,81,47924,-15.7,-35.8,0
1126,Wild Odyssey,2001,Sci-Fi,Action,English,South Korea,Warner Bros,M. Chen,116,59.2,605.2,6.6,71,34997,546.0,922.3,1
1180,Shadow Journey,2001,Sci-Fi,Drama,Hindi,Canada,20th Century Studios,L. Garcia,107,100.9,349.8,6.6,59,106818,248.9,246.7,1
1556,Dark Requiem,2001,Adventure,Drama,English,UK,MGM,P. Dubois,126,74.6,110.3,5.8,55,22524,35.7,47.9,0
1108,Crimson Kingdom,2001,Sci-Fi,,English,South Korea,A24,B. Martinez,140,28.8,154.1,7.0,55,34557,125.3,435.1,1
1298,Golden Journey,2001,Animation,,English,France,Walt Disney Studios,P. Dubois,128,55.4,133.0,6.9,69,90598,77.6,140.1,1
1306,Crimson Echo,2001,Crime,Comedy,Hindi,France,Legendary Pictures,T. Wilson,117,6.9,74.2,6.1,66,78870,67.3,975.4,1
1324,Final Journey,2002,Action,Horror,Japanese,Australia,Sony Pictures,B. Martinez,109,30.3,286.4,5.4,80,208990,256.1,845.2,1
1278,Endless Kingdom,2002,Action,Romance,Hindi,Canada,Legendary Pictures,D. Okafor,124,56.4,310.0,7.2,69,32899,253.6,449.6,1
1336,Shadow Chronicles,2002,Animation,Sci-Fi,English,Germany,MGM,B. Martinez,131,22.9,67.7,6.8,70,217514,44.8,195.6,1
1528,Final Requiem,2002,Animation,Crime,Spanish,South Korea,A24,B. Martinez,94,22.6,76.2,6.6,78,119405,53.6,237.2,1
1498,Crimson Whisper,2002,Horror,,Hindi,UK,Walt Disney Studios,V. Petrov,121,29.2,43.2,7.1,70,108846,14.0,47.9,0
1500,Crimson Chronicles,2002,Sci-Fi,Action,English,Australia,Lionsgate,K. Tanaka,109,79.1,640.7,6.0,74,115482,561.6,710.0,1
1067,Crimson Journey,2002,Comedy,Crime,French,Australia,20th Century Studios,H. Cho,98,47.5,6.2,7.1,64,36406,-41.3,-86.9,0
1529,Silent Chronicles,2002,Sci-Fi,Horror,English,USA,Warner Bros,N. Rossi,117,51.2,439.6,5.8,48,2332,388.4,758.6,1
1478,Eternal Chronicles,2002,Animation,Thriller,Hindi,Japan,Lionsgate,H. Cho,126,25.7,154.6,7.9,75,17963,128.9,501.6,1
1466,Lost Kingdom,2002,Crime,Sci-Fi,English,USA,Walt Disney Studios,L. Garcia,134,34.1,103.6,7.3,55,217722,69.5,203.8,1
1271,Dark Storm,2002,Animation,,Japanese,Australia,MGM,T. Wilson,126,57.7,1807.0,5.7,52,76877,1749.3,3031.7,1
1688,Shadow Legacy,2002,Animation,Sci-Fi,English,India,Legendary Pictures,E. Muller,98,26.2,21.8,7.6,83,959,-4.4,-16.8,0
1793,Wild Frontier,2002,Romance,Action,Hindi,India,20th Century Studios,H. Cho,123,5.5,16.7,4.6,57,28014,11.2,203.6,1
1034,Shadow Requiem,2002,Animation,Romance,English,Germany,MGM,P. Dubois,161,51.0,221.4,6.4,63,80002,170.4,334.1,1
1648,Dark Storm,2002,Adventure,,English,Japan,A24,B. Martinez,117,84.9,91.0,6.4,75,112122,6.1,7.2,0
1086,Silent Horizon,2002,Drama,,Hindi,Australia,Walt Disney Studios,K. Tanaka,95,17.3,51.8,6.8,78,73558,34.5,199.4,1
1209,Broken Journey,2002,Adventure,Thriller,Hindi,France,MGM,M. Chen,178,98.8,234.1,6.9,70,15669,135.3,136.9,1
1671,Last Redemption,2002,Drama,,Hindi,China,Warner Bros,E. Muller,102,32.4,160.4,4.6,56,62680,128.0,395.1,1
1259,Endless Storm,2002,Adventure,Animation,Spanish,USA,Paramount,V. Petrov,123,38.6,20.9,5.8,62,57267,-17.7,-45.9,0
1721,Lost Dawn,2002,Sci-Fi,,Chinese,Japan,Sony Pictures,D. Okafor,139,111.8,549.1,6.9,68,36734,437.3,391.1,1
1167,Golden Echo,2002,Adventure,Action,Korean,China,Walt Disney Studios,N. Rossi,121,17.2,55.4,5.7,61,1628,38.2,222.1,1
1438,Eternal Redemption,2002,Comedy,Animation,English,Germany,Warner Bros,S. Kim,142,15.5,137.5,7.2,68,3141,122.0,787.1,1
1194,Shadow Journey,2002,Animation,Crime,English,USA,MGM,K. Tanaka,138,66.1,41.5,7.4,84,36532,-24.6,-37.2,0
1758,Broken Journey,2002,Sci-Fi,,Hindi,China,20th Century Studios,E. Muller,124,72.7,187.3,5.0,48,105509,114.6,157.6,1
1616,Wild Storm,2002,Comedy,,Japanese,South Korea,Lionsgate,P. Dubois,135,34.7,118.6,7.0,73,496065,83.9,241.8,1
1138,Crimson Vengeance,2002,Sci-Fi,,Hindi,Japan,Universal Pictures,V. Petrov,124,115.6,361.1,7.9,77,36849,245.5,212.4,1
1757,Lost Kingdom,2002,Horror,Drama,Japanese,India,Universal Pictures,B. Martinez,130,16.2,49.1,5.4,63,106090,32.9,203.1,1
1098,Forgotten Whisper,2002,Comedy,,English,France,Walt Disney Studios,L. Garcia,118,28.5,383.1,5.9,52,140847,354.6,1244.2,1
1008,Crimson Kingdom,2002,Horror,Crime,Spanish,Germany,Legendary Pictures,P. Dubois,136,9.4,38.4,5.2,40,50224,29.0,308.5,1
1349,Hidden Whisper,2002,Drama,Thriller,Hindi,Japan,Paramount,L. Garcia,132,7.4,61.2,6.5,57,48911,53.8,727.0,1
1666,Wild Kingdom,2002,Animation,Adventure,English,France,MGM,L. Garcia,130,13.3,4.8,5.9,59,282140,-8.5,-63.9,0
1102,Endless Redemption,2003,Crime,,English,South Korea,A24,L. Garcia,121,44.6,89.9,7.5,73,159581,45.3,101.6,1
1091,Silent Storm,2003,Horror,,English,China,Paramount,B. Martinez,109,22.3,60.6,8.1,83,4335,38.3,171.7,1
1057,Eternal Kingdom,2003,Thriller,,English,Germany,A24,D. Okafor,124,45.5,121.3,7.0,66,13053,75.8,166.6,1
1039,Hidden Empire,2003,Animation,,Spanish,UK,Sony Pictures,T. Wilson,113,24.8,63.1,6.7,70,6919,38.3,154.4,1
1676,Shadow Horizon,2003,Drama,Crime,English,France,Sony Pictures,S. Kim,117,10.6,50.9,5.7,45,17937,40.3,380.2,1
1379,Final Whisper,2003,Action,,Japanese,Germany,Walt Disney Studios,H. Cho,125,44.9,577.0,5.8,53,149025,532.1,1185.1,1
1444,Dark Frontier,2003,Horror,Animation,Hindi,UK,Paramount,L. Garcia,114,30.1,100.6,6.1,60,704,70.5,234.2,1
1404,Hidden Vengeance,2003,Crime,,Hindi,Japan,MGM,H. Cho,122,46.6,126.0,6.7,64,80187,79.4,170.4,1
1425,Golden Chronicles,2003,Animation,,Korean,Australia,Universal Pictures,L. Garcia,101,42.4,148.5,5.0,47,8888,106.1,250.2,1
1188,Broken Frontier,2003,Adventure,,English,UK,Lionsgate,H. Cho,128,54.2,375.0,6.9,72,30761,320.8,591.9,1
1176,Last Kingdom,2003,Animation,Sci-Fi,French,Germany,Warner Bros,V. Petrov,116,86.5,102.5,4.8,64,4948,16.0,18.5,0
1166,Broken Empire,2003,Romance,Adventure,English,Canada,Legendary Pictures,K. Tanaka,102,32.4,225.6,5.5,60,16369,193.2,596.3,1
1157,Silent Vengeance,2003,Horror,,English,USA,MGM,E. Muller,97,24.7,66.8,5.3,50,90834,42.1,170.4,1
1585,Lost Echo,2003,Romance,Drama,Korean,Australia,Lionsgate,D. Okafor,123,10.8,10.1,8.7,93,39356,-0.7,-6.5,0
1581,Golden Journey,2003,Action,Horror,Hindi,UK,Warner Bros,T. Wilson,116,30.5,51.9,7.0,68,134658,21.4,70.2,0
1594,Crimson Legacy,2003,Horror,Drama,English,Japan,MGM,E. Muller,76,17.9,50.9,8.6,93,25697,33.0,184.4,1
1602,Dark Dawn,2003,Adventure,Comedy,Hindi,UK,Lionsgate,M. Chen,85,54.9,422.5,7.3,71,15587,367.6,669.6,1
1632,Lost Requiem,2003,Thriller,,Hindi,Canada,Legendary Pictures,S. Kim,124,45.9,43.1,6.9,75,213798,-2.8,-6.1,0
1122,Broken Storm,2003,Drama,,English,India,20th Century Studios,N. Rossi,128,11.5,22.8,6.1,61,67767,11.3,98.3,0
1133,Broken Requiem,2003,Animation,Crime,English,France,Walt Disney Studios,M. Chen,114,22.1,167.1,7.9,73,4450,145.0,656.1,1
1151,Endless Legacy,2003,Animation,Action,Hindi,France,Walt Disney Studios,B. Martinez,113,87.3,775.8,6.4,57,14773,688.5,788.7,1
1243,Silent Legacy,2003,Action,,English,Japan,Sony Pictures,E. Muller,98,24.0,44.9,6.2,64,190141,20.9,87.1,0
1657,Rising Storm,2003,Animation,Crime,English,USA,Walt Disney Studios,V. Petrov,91,19.5,105.2,6.7,68,1458201,85.7,439.5,1
1253,Broken Redemption,2003,Romance,Animation,English,South Korea,Universal Pictures,H. Cho,84,30.4,192.9,5.9,71,63762,162.5,534.5,1
1252,Crimson Frontier,2003,Adventure,Comedy,French,Japan,Universal Pictures,B. Martinez,75,18.9,42.2,7.8,72,2736866,23.3,123.3,1
1283,Broken Echo,2003,Comedy,Thriller,English,Australia,Universal Pictures,E. Muller,110,9.6,29.5,8.1,81,29747,19.9,207.3,1
1482,Lost Empire,2003,Crime,Sci-Fi,English,Canada,Legendary Pictures,H. Cho,91,36.8,138.6,7.5,79,24636,101.8,276.6,1
1504,Eternal Requiem,2003,Animation,,Korean,India,Sony Pictures,M. Chen,125,11.8,81.1,8.9,96,144669,69.3,587.3,1
1193,Crimson Kingdom,2003,Horror,Crime,Spanish,China,Legendary Pictures,N. Rossi,127,5.4,22.2,7.9,72,74907,16.8,311.1,1
1292,Silent Echo,2003,Thriller,,Hindi,India,Universal Pictures,K. Tanaka,121,55.2,396.2,6.4,60,180162,341.0,617.8,1
1341,Lost Echo,2003,Horror,Romance,Hindi,France,Lionsgate,T. Wilson,133,2.7,16.4,7.0,75,38245,13.7,507.4,1
1340,Golden Whisper,2003,Animation,Comedy,English,Australia,Lionsgate,N. Rossi,119,30.9,242.2,5.4,61,242272,211.3,683.8,1
1007,Silent Frontier,2003,Adventure,,Hindi,Germany,Legendary Pictures,M. Chen,113,34.3,208.8,6.2,50,34438,174.5,508.7,1
1342,Eternal Empire,2004,Thriller,Horror,English,Germany,Universal Pictures,R. Patel,120,42.1,193.5,8.3,93,1119109,151.4,359.6,1
1003,Golden Whisper,2004,Thriller,Animation,Chinese,India,Walt Disney Studios,V. Petrov,95,44.2,70.1,4.5,32,89905,25.9,58.6,0
1731,Forgotten Dawn,2004,Crime,Thriller,French,China,MGM,S. Kim,104,28.8,143.9,7.1,74,13432,115.1,399.7,1
1532,Hidden Horizon,2004,Comedy,Action,English,France,A24,S. Kim,89,12.6,50.8,5.0,45,5041,38.2,303.2,1
1187,Forgotten Legacy,2004,Action,,Hindi,Japan,Walt Disney Studios,L. Garcia,119,15.4,50.7,5.8,46,460,35.3,229.2,1
1573,Lost Echo,2004,Adventure,Crime,English,Canada,MGM,E. Muller,126,9.9,78.6,5.9,65,12782,68.7,693.9,1
1499,Golden Echo,2004,Action,Romance,Japanese,Canada,MGM,J. Nolan,117,77.5,554.6,6.0,50,228952,477.1,615.6,1
1650,Final Redemption,2004,Thriller,,Hindi,Germany,Walt Disney Studios,T. Wilson,106,38.2,32.4,8.4,86,189666,-5.8,-15.2,0
1479,Silent Whisper,2004,Adventure,Drama,English,Japan,Sony Pictures,E. Muller,97,55.3,13.1,5.1,43,228296,-42.2,-76.3,0
1199,Golden Redemption,2004,Action,Crime,Hindi,Japan,A24,L. Garcia,126,105.6,2077.6,6.0,56,43892,1972.0,1867.4,1
1451,Eternal Dawn,2004,Adventure,Thriller,Spanish,Australia,Universal Pictures,S. Kim,123,14.5,18.8,7.1,72,496226,4.3,29.7,0
1116,Dark Dawn,2004,Sci-Fi,Animation,Hindi,Canada,Walt Disney Studios,L. Garcia,115,93.5,35.3,6.9,65,33715,-58.2,-62.2,0
1146,Final Echo,2004,Sci-Fi,,Chinese,Germany,A24,M. Chen,140,76.1,705.8,6.2,69,27932,629.7,827.5,1
1136,Lost Kingdom,2004,Animation,,Hindi,France,MGM,B. Martinez,127,11.6,3.6,5.5,52,42801,-8.0,-69.0,0
1586,Silent Frontier,2004,Action,,English,UK,MGM,B. Martinez,93,80.4,394.3,5.8,65,28089,313.9,390.4,1
1554,Shadow Storm,2004,Comedy,,Hindi,Canada,Paramount,N. Rossi,116,31.1,13.4,6.3,63,27827,-17.7,-56.9,0
1701,Shadow Kingdom,2004,Sci-Fi,Crime,English,China,MGM,H. Cho,80,77.1,198.9,6.0,57,7463,121.8,158.0,1
1359,Dark Journey,2004,Comedy,,English,Germany,Lionsgate,H. Cho,142,35.1,57.2,7.2,68,17756,22.1,63.0,0
1396,Silent Vengeance,2004,Crime,,English,Canada,Sony Pictures,K. Tanaka,127,55.5,729.8,7.2,70,22357,674.3,1215.0,1
1370,Last Echo,2004,Thriller,,Spanish,UK,A24,V. Petrov,99,15.3,52.4,6.9,66,46430,37.1,242.5,1
1777,Shadow Frontier,2004,Action,Sci-Fi,English,India,Universal Pictures,P. Dubois,88,95.2,110.1,3.8,32,71947,14.9,15.7,0
1769,Hidden Legacy,2004,Adventure,Crime,English,South Korea,Legendary Pictures,A. Sharma,143,81.7,294.8,7.0,68,16199,213.1,260.8,1
1018,Golden Kingdom,2004,Crime,,Hindi,Australia,MGM,J. Nolan,110,43.0,54.1,8.8,83,115632,11.1,25.8,0
1085,Eternal Empire,2004,Animation,,English,Japan,Lionsgate,J. Nolan,125,65.9,71.5,6.0,55,3789,5.6,8.5,0
1795,Hidden Horizon,2004,Comedy,,English,UK,Lionsgate,M. Chen,114,15.5,255.5,7.2,76,129304,240.0,1548.4,1
1798,Silent Echo,2004,Romance,Animation,English,USA,Lionsgate,E. Muller,107,7.0,28.8,6.9,72,272382,21.8,311.4,1
1791,Last Vengeance,2004,Action,Sci-Fi,English,Germany,Lionsgate,M. Chen,126,79.3,175.3,6.1,78,14224,96.0,121.1,1
1058,Forgotten Storm,2004,Sci-Fi,,English,Germany,Sony Pictures,T. Wilson,134,49.3,90.9,4.8,43,1963,41.6,84.4,0
1568,Dark Journey,2005,Action,Thriller,English,UK,MGM,M. Chen,120,99.5,184.3,5.2,52,391035,84.8,85.2,0
1198,Last Frontier,2005,Thriller,,English,Australia,Warner Bros,K. Tanaka,98,41.3,40.3,7.6,71,11688,-1.0,-2.4,0
1523,Forgotten Whisper,2005,Horror,,English,South Korea,Paramount,H. Cho,132,28.4,20.8,8.8,99,111346,-7.6,-26.8,0
1345,Wild Empire,2005,Adventure,,French,India,Walt Disney Studios,S. Kim,128,13.8,21.5,6.7,79,4392,7.7,55.8,0
1474,Lost Kingdom,2005,Thriller,,English,France,Warner Bros,H. Cho,127,14.2,39.2,6.7,50,5726,25.0,176.1,1
1453,Hidden Dawn,2005,Animation,,English,Germany,Warner Bros,L. Garcia,94,79.6,748.5,7.1,78,114973,668.9,840.3,1
1628,Endless Requiem,2005,Sci-Fi,Drama,English,China,Warner Bros,V. Petrov,146,111.6,78.8,7.5,72,61998,-32.8,-29.4,0
1190,Final Redemption,2005,Romance,Thriller,English,South Korea,Walt Disney Studios,B. Martinez,131,17.1,57.0,6.3,61,120693,39.9,233.3,1
1163,Broken Chronicles,2005,Action,,English,India,Lionsgate,E. Muller,122,64.1,8.1,7.3,68,692170,-56.0,-87.4,0
1555,Lost Legacy,2005,Adventure,Thriller,English,Australia,Paramount,S. Kim,96,49.5,67.9,7.6,59,39072,18.4,37.2,0
1550,Final Requiem,2005,Adventure,,English,Germany,Walt Disney Studios,E. Muller,80,45.8,78.8,6.2,76,11408,33.0,72.1,0
1258,Shadow Requiem,2005,Adventure,Horror,Spanish,Canada,Legendary Pictures,J. Nolan,100,20.7,154.5,7.1,51,14750,133.8,646.4,1
1664,Eternal Legacy,2005,Sci-Fi,,Spanish,UK,Lionsgate,L. Garcia,101,105.0,400.1,5.6,59,485414,295.1,281.0,1
1593,Crimson Storm,2005,Sci-Fi,Crime,Hindi,Germany,Walt Disney Studios,P. Dubois,129,16.5,42.4,5.5,59,119300,25.9,157.0,1
1115,Wild Echo,2005,Drama,Sci-Fi,English,Germany,Sony Pictures,P. Dubois,85,40.1,42.7,6.0,50,23894,2.6,6.5,0
1461,Endless Whisper,2005,Drama,,Korean,USA,A24,A. Sharma,121,9.7,173.4,6.7,62,67945,163.7,1687.6,1
1417,Endless Vengeance,2005,Romance,Action,English,China,20th Century Studios,J. Nolan,106,20.6,83.9,6.5,67,77560,63.3,307.3,1
1234,Golden Frontier,2005,Thriller,Sci-Fi,English,UK,Paramount,J. Nolan,105,16.1,9.7,5.1,50,267527,-6.4,-39.8,0
1402,Final Dawn,2005,Action,,French,India,Warner Bros,B. Martinez,95,23.6,33.0,6.8,61,14177,9.4,39.8,0
1456,Rising Frontier,2005,Crime,Thriller,Hindi,Australia,Sony Pictures,S. Kim,123,44.8,57.6,5.8,76,43050,12.8,28.6,0
1508,Forgotten Echo,2005,Comedy,Action,English,Canada,A24,E. Muller,146,10.9,43.6,5.9,61,170066,32.7,300.0,1
1746,Last Dawn,2005,Animation,Adventure,Spanish,Australia,20th Century Studios,R. Patel,102,48.4,472.8,6.5,72,130238,424.4,876.9,1
1181,Last Requiem,2005,Crime,,Hindi,France,20th Century Studios,A. Sharma,92,37.5,148.8,7.1,76,27958,111.3,296.8,1
1519,Final Horizon,2005,Thriller,,Spanish,France,Walt Disney Studios,P. Dubois,121,16.6,63.8,6.2,52,60181,47.2,284.3,1
1178,Golden Chronicles,2005,Animation,,Chinese,Japan,Universal Pictures,T. Wilson,108,62.9,743.3,6.0,55,263212,680.4,1081.7,1
1783,Shadow Requiem,2005,Adventure,,English,France,A24,T. Wilson,80,64.7,26.8,6.3,58,66584,-37.9,-58.6,0
1054,Dark Storm,2005,Horror,,English,UK,Universal Pictures,B. Martinez,119,18.2,75.1,6.6,69,369008,56.9,312.6,1
1053,Wild Vengeance,2005,Adventure,Drama,Spanish,Canada,Warner Bros,M. Chen,97,91.3,67.8,5.8,64,116672,-23.5,-25.7,0
